,SetName,Pieces,USRetailPrice,Availability
308,First Order Heavy Assault Walker,1376,149.99,Retail
309,First Order Specialists Battle Pack,108,14.99,Retail
310,First Order Transport Speeder Battle Pack,117,14.99,Retail
311,Flaming Claws,78,12.99,Retail
312,Flash Speeder,106,10,Retail
313,Flower Arrangement,1161,109.99,Retail
314,Flying Ford Anglia,165,14.99,Retail
315,Flying Fox: Batmobile Airlift Attack,955,129.99,Retail
316,Flying Phoenix Fire Temple,1301,119.99,Retail
317,Ford Fiesta M-Sport WRC,203,14.99,Retail
318,Ford Mustang GT,185,14.99,Retail
319,Forest Ambush,90,11.99,Retail
320,Forest Harvester,1003,149.99,Retail
321,Forestman,9,1.99,Retail
322,Formula Force,107,10,Retail
323,Freeing Dobby,73,10.99,Retail
324,Freekick Frenzy,54,10,Retail
325,Friendship Movie Night,154,14.99,Retail
326,Frodo & Gollum,184,14.99,Retail
327,Frog Rush,107,14.99,Retail
328,Front-End Loader,108,12.99,Retail
329,Frozen Spikes,81,12.99,Retail
330,Fuel Truck,112,15,Retail
331,Futuristic Flyer,157,14.99,Retail
332,Galactic Empire Battle Pack,109,12.99,Retail
333,Gali - Master of Water,87,14.99,Retail
334,Gali - Uniter of Water,87,14.99,Retail
335,Game Set,154,15,Retail
336,Gandalf Arrives,83,12.99,Retail
337,Geonosis Troopers,105,12.99,Retail
338,Getaway Glider,104,12.99,Retail
339,Giganotosaurus & Therizinosaurus Attack,810,139.99,Retail
340,Gimli Fun Pack,56,14.99,Retail
341,Ginger Tabby,269,14.99,Retail
342,Go-Kart,144,14.99,Retail
343,Golden Dragon Master,92,14.99,Retail
344,Golden Zane Accessory Set,73,12.99,Retail
345,Gollum Fun Pack,39,14.99,Retail
346,Goofy & Pluto,214,14.99,Retail - limited
347,Goombas' Playground,173,14.99,Retail
348,Grand Prix Racer,1141,129.99,Retail
349,Grand Titan,196,15,Retail
350,Granite Grinder,109,15,Retail
351,Green Lantern,38,14.99,Retail
352,Groot & Rocket,189,14.99,Retail
353,Grow Caterpillar Grow!,17,12.99,Retail
354,Gryffindor,68,10,Retail
355,Guarded Treasure,103,15,Retail
356,Guardian of the Deep,144,14.99,Retail
357,Gungan Patrol,77,10,Retail
358,H.O.T. Blaster Bike,88,10,Retail
359,Hamster,243,14.99,Retail
360,Handy Box,800,15,Retail
361,Harold the Helicopter,7,10,Retail
362,Harry Potter & Hedwig,180,14.99,Retail
363,Harry Potter & Hermione Granger,1673,119.99,Retail - limited
364,Harry Potter Hogwarts Crests,4249,119.99,Retail
365,Harry and the Marauder's Map,109,10,Retail
366,Heartlake City Amusement Pier,1251,129.99,Retail
367,Heartlake City Community Centre,1513,139.99,Retail
368,Heartlake City Hospital,1045,109.99,Retail
369,Heartlake City Pizzeria,144,14.99,Retail
370,Heartlake City Shopping Mall,1237,119.99,Retail
371,Heartlake Grand Hotel,1552,129.99,Retail
372,Heartlake Shopping Mall,1120,109.99,Retail
373,Heavy Lift Helicopter,1042,139.99,Retail
374,Heavy-Duty Bulldozer,195,12.99,Retail
375,Helicopter,88,10,Retail
376,Helicopter,1056,119.99,Retail
377,Hermione Granger Fun Pack,64,14.99,Retail
378,Hero,68,12.99,Retail
379,Heroic Heroes of the Deep,95,14.99,Retail
380,High Flyers,197,10,Retail
381,High-speed Passenger Train,610,149.99,Retail
382,Highway Chaos,142,14.99,Retail
383,Highway Cruiser,129,12.99,Retail
384,Hogwarts Accessories Pack,234,14.99,Retail
385,Hogwarts Castle,1290,129.99,Retail
386,Hogwarts Chamber of Secrets,1176,149.99,Retail
387,Hogwarts Classrooms,73,10,Retail
388,Hogwarts Express & Hogsmeade Station,1074,129.99,Retail
389,Holiday Calendar,231,15,Retail - limited
390,Holiday Copack,1129,109.99,Retail - limited
391,Home One Mon Calamari Star Cruiser,789,109.99,Retail
392,Hook Loader,176,14.99,Retail
393,Horses,20,14.99,Retail
394,Hospital,816,119.99,Retail
395,Hot Buster,67,10,Retail
396,Hot Scorcher,57,10,Retail
397,Hover Hunter,79,11.99,Retail
398,Hulk Mech Armor,138,14.99,Retail
399,Humungousaur,14,14.99,Retail
400,Hydro Bounty,1159,139.99,Retail
401,Ice Blade,108,10,Retail
402,Ice Cream Truck,11,14.99,Retail
403,Ice Rally,170,14.99,Retail
404,Ice Tower,101,14.99,Retail
405,Imperial AT-ST,107,10,Retail
406,Imperial Assault Carrier,1216,129.99,Retail
407,Imperial Patrol Battle Pack,99,14.99,Retail
408,Imperial Star Destroyer,1359,129.99,Retail
409,Imperial Troop Transport,141,12.99,Retail
410,Imperial Trooper Battle Pack,112,14.99,Retail
411,Indominus Rex Breakout,1156,129.99,Retail
412,Indoraptor Rampage at Lockwood Estate,1019,129.99,Retail
413,Inferno Pit,78,12.99,Retail
414,Inferno Squad Battle Pack,118,14.99,Retail
415,Ink Koi Skin,33,14.99,Retail - limited
416,International Space Station,162,15,Retail - limited
417,Iron Man,44,14.99,Retail
418,Iron Man Mech vs. Ultron,101,14.99,Retail
419,Iron Man vs. Loki,66,12.99,Retail
420,Iron Man vs. The Mandarin: Ultimate Showdown,91,12.99,Retail
421,Iron Man vs. Ultron,90,12.99,Retail
422,Iron Man with Bike and The Hulk,68,14.99,Retail
423,Izzie's Narwhal Hot-Air Balloon,156,15.99,Retail
424,Jabba's Palace,717,119.99,Retail
425,Jake's Treasure Hunt,22,14.99,Retail
426,Jay - Dragon Master,92,14.99,Retail
427,Jay Fun Pack,48,14.99,Retail
428,Jedi Duel,82,10,Retail
429,Jedi and Clone Troopers Battle Pack,102,14.99,Retail
430,Jestro's Volcano Lair,1186,119.99,Retail
431,Jet Ray,16,14.99,Retail
432,Jetbug,63,12.99,Retail
433,Jim Lee Batman Collection,4167,119.99,Retail
434,Jokerland,1037,119.99,Retail
435,Julian's Birthday Party,170,14.99,Retail
436,Jump Master,105,10,Retail
437,Jungle Air Drop Helicopter,1250,149.99,Retail - limited
438,Jungle Crasher,76,10,Retail
439,Jungle Exploration Site,813,119.99,Retail
440,Jungle Explorer ATV Red Panda Mission,92,10.99,Retail
441,Jungle Gates,81,14.99,Retail
442,Jungle Monster,116,15,Retail
443,Kai - Dragon Master,92,14.99,Retail
444,Kai's Blade Cycle,188,14.99,Retail
445,Kai's Dragon Power Spinjitzu Flip,72,10.99,Retail
446,Karai Bike Escape,88,12.99,Retail
447,Karate Master,7,1.99,Retail
448,Kashyyyk Troopers,99,12.99,Retail
449,Keith Haring - Dancing Figures,1773,119.99,Retail
450,Klombo,1084,109.99,Retail
451,Knight Rider Fun Pack,55,14.99,Retail
452,Knighton Castle,1426,129.99,Retail
453,Kraang Lab Escape,90,12.99,Retail
454,Krusty Fun Pack,38,14.99,Retail
455,Kylo Ren's Command Shuttle,1005,119.99,Retail
456,Kylo Ren's Shuttle,1005,129.99,Retail
457,LEGO City Advent Calendar,203,15,Retail - limited
458,LEGO Classic House Building,233,14.99,Retail
459,LEGO Harry Potter: Wizarding Duels: Potter vs Malfoy,11,14.99,Retail
460,LEGO Technic Guys,5,11,Retail
461,LaFerrari,164,14.99,Retail
462,Land Bounty,1178,129.99,Retail
463,Large Bucket,70,10,Retail
464,Lashina Tank,145,14.99,Retail
465,Lava Beast,114,14.99,Retail
466,Lava Dragon,131,14.99,Retail
467,Laval Fun Pack,57,14.99,Retail
468,Legends of Chima Super Pack 2 in 1,1081,109.99,Retail - limited
469,Legolas Fun Pack,36,14.99,Retail
470,Let's Go! Vroom!,12,12.99,Retail
471,Lewa - Master of Jungle,85,14.99,Retail
472,Lewa - Uniter of Jungle,79,14.99,Retail
473,Life Guard,6,1.99,Retail
474,Lloyd Fun Pack,56,11.99,Retail
475,Lloyd's Dragon Power Spinjitzu Spin,56,10.99,Retail
476,Lloyd's Golden Ultra Dragon,989,149.99,Retail
477,Lloyd's Jet Mech,1112,109.99,Retail
478,Lloyd's Journey,81,14.99,Retail
479,Logging Truck,1308,139.99,Retail
480,Lord of Skull Spiders,145,14.99,Retail
481,Luke Skywalker & Yoda,215,14.99,Retail
482,Luke Skywalker X-wing Mech,195,15.99,Retail
483,Lunar Research Base,786,129.99,Retail
484,Macy's Bot Drop Dragon,153,14.99,Retail - limited
485,Magician,6,1.99,Retail
486,Magma Monster,95,14.99,Retail
487,Main Street,1459,139.99,Retail
488,Malfoy Manor,1601,149.99,Retail
489,Mandalorian Battle Pack,68,12.99,Retail
490,Mandalorian Battle Pack,102,14.99,Retail
491,Marceline the Vampire Queen Fun Pack,60,11.99,Retail - limited
492,Mariachi,9,1.99,Retail
493,Mars Crew Exploration Rover,1599,149.99,Retail
494,Mateo and Z-Blob the Knight Battle Mech,1333,129.99,Retail
495,Material Handler,835,149.99,Retail
496,Max Goes Flying,172,15,Retail
497,McLaren 720S,161,14.99,Retail
498,McLaren P1,168,14.99,Retail
499,McLaren Senna,219,14.99,Retail
500,Medieval Horse Knight Castle,1371,129.99,Retail
501,Meltdown,50,12.99,Retail
502,Melting Room,122,12.99,Retail
503,Mercedes-AMG GT3,196,14.99,Retail
504,Mia's Forest Adventure,134,14.99,Retail
505,Mia's Roadster,187,14.99,Retail
506,Mickey Racer,15,14.99,Retail
507,Mickey's Fire Engine,26,10,Retail
508,Micro Wheels,215,10,Retail
509,Mighty Dinosaurs,174,14.99,Retail
510,Millennium Falcon,663,100,Retail
511,Millennium Falcon,985,100,Retail
512,Millennium Falcon,1254,139.99,Retail
513,Millennium Falcon,1329,149.99,Retail
514,Mime,7,1.99,Retail
515,Minecraft Alex BigFig with Chicken,160,14.99,Retail
516,Minecraft Skeleton BigFig with Magma Cube,142,14.99,Retail
517,Minecraft Steve BigFig with Parrot,159,14.99,Retail
518,Mini CLAAS XERION,130,12.99,Retail
519,Mini Container Truck,119,10.99,Retail
520,Mini Robots,229,10,Retail
521,Mini Telehandler,117,10.99,Retail
522,Mini Tow Truck,136,11.99,Retail
523,Mini Tractor,121,10,Retail
524,Mining 4x4,102,11.99,Retail
525,Mobile Bakery Food Cart,125,10.99,Retail
526,Mobile Construction Crane,1116,109.99,Retail
527,Mobile Crane,1884,150,Retail
528,Modular Space Station,1097,109.99,Retail
529,Monkie Kid's Galactic Explorer,1356,129.99,Retail
530,Monkie Kid's Team Hideout,1582,139.99,Retail - limited
531,Monkie Kid's Team Van,1406,129.99,Retail
532,Monster 4,141,14.99,Retail
533,Monster Jumper,91,12.99,Retail
534,Monster Truck,163,14.99,Retail
535,Monster Truck,148,15.99,Retail
536,Mosasaurus,26,10,Retail
537,Motion Madness,243,14.99,Retail
538,Motorcycle,163,12.99,Retail
539,Motorized Bulldozer,1384,149.99,Retail
540,Mulan's Training Day,104,14.99,Retail
541,Mummy Museum Mystery,110,14.99,Retail
542,Muscle Slammer Bike,126,10,Retail
543,My First Balancing Animals,15,14.99,Retail
544,My First Bus,17,14.99,Retail
545,My First Garden,38,12.99,Retail
546,My First LEGO Set,231,14.99,Retail
547,My First LEGO Set,148,14.99,Retail
548,My First Tractor,12,14.99,Retail
549,Mythical Creatures,223,14.99,Retail
550,NASA Apollo Saturn V,1969,119.99,Retail - limited
551,NASA Apollo Saturn V,1969,119.99,Retail - limited
552,NBA Basketball Teams,20,10,Retail
553,Naboo Swamp,82,10,Retail
554,Neon Tiger Bracelet & Bag Tag,188,14.99,Retail
555,Nest Dive,97,14.99,Retail
556,New Republic E-wing vs. Shin Hati's Starfighter,1056,109.99,Retail
557,Newbury Haunted High School,1474,129.99,Retail
558,Nezha's Ring of Fire Mech,1163,139.99,Retail
559,Night Racer,76,10,Retail
560,Nightmare Shark Ship,1389,139.99,Retail
561,Nightmare Shark Submarine,1413,149.99,Retail
562,Ninja,7,1.99,Retail
563,Nitro Pulverizer,60,10,Retail
564,Nitro Stunt Bike,92,10,Retail
565,Nitro Terminator,70,10,Retail
566,Nitroblast,57,12.99,Retail
567,Nurse,8,1.99,Retail
568,Nya Fun Pack,59,14.99,Retail
569,Nya's Dragon Power Spinjitzu Drift,57,10.99,Retail
570,Nya's Samurai X MECH,1003,119.99,Retail
571,OGRUM,59,12.99,Retail
572,Ocean Exploration Ship,745,149.99,Retail
573,Ocean Explorer,213,14.99,Retail
574,Ocean Explorer,1327,119.99,Retail
575,Off-Road Buggy,374,129.99,Retail
576,Off-Road Buggy,160,14.99,Retail
577,Off-Roader,1097,119.99,Retail
578,Ogel Mutant Killer Whale,57,10,Retail
579,Ogel Mutant Ray,68,10,Retail - limited
580,Ogel Mutant Squid,61,10,Retail
581,Olaf,122,14.99,Retail
582,Old Fishing Store,2049,149.99,Retail - limited
583,Olivia's Deluxe Bedroom,163,14.99,Retail
584,Olivia's Electric Car,183,14.99,Retail
585,Olivia's Exploration Car,185,14.99,Retail
586,One vs. One Action,39,10,Retail
587,Outrider Dropship Attack,124,14.99,Retail
588,PYROX,50,12.99,Retail
589,Pancake Shop,157,10.99,Retail
590,Park Animals,202,14.99,Retail
591,Passage of Jun-Chi,94,10,Retail
592,Passenger Airplane,913,119.99,Retail
593,Passenger Train,669,129.99,Retail
